nform,nper,sit.conyugal,nivel.educ,parent.jefe,edad,sexo,dedicacion.p,tipo.p,tareas.p,jub.pen,transf.pais,transf.ext,afam,benef.esp,ola,dpto_cod
1,1,1,4,3,13,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
1,2,1,2,1,38,1,1,2,9,NA,NA,1,900,NA,3,Montevideo
1,3,3,2,2,34,2,1,2,9,NA,NA,1,NA,NA,3,Montevideo
1,4,3,4,3,15,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
1,5,1,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
1,13,1,NA,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
2,1,1,5,3,15,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
2,3,2,3,2,34,2,1,2,5,NA,NA,3,1683,NA,3,Montevideo
2,4,1,3,3,17,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
2,13,2,3,1,39,1,1,5,5,NA,NA,NA,NA,NA,3,Montevideo
3,1,1,4,3,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
3,2,2,2,1,51,1,1,6,9,NA,NA,NA,NA,NA,3,Montevideo
3,3,2,2,2,40,2,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
3,4,1,5,3,20,2,1,2,9,NA,NA,3,866,NA,3,Montevideo
3,5,1,5,3,17,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
3,6,4,4,8,72,2,1,5,5,3000,NA,NA,NA,NA,3,Montevideo
4,1,1,5,4,16,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
4,3,1,2,2,36,2,7,NA,NA,NA,NA,3,1317,NA,3,Montevideo
4,4,1,2,4,10,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
5,1,1,4,3,16,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
5,2,2,2,2,59,1,1,6,9,NA,NA,NA,NA,NA,3,Montevideo
5,3,2,2,1,55,2,6,NA,NA,4700,NA,3,2102,NA,3,Montevideo
5,13,1,2,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
6,1,1,4,3,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
6,2,3,1,1,41,1,1,6,9,NA,NA,3,1600,NA,3,Montevideo
6,3,3,1,2,36,2,1,6,9,NA,NA,NA,NA,NA,3,Montevideo
6,4,1,4,3,16,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
6,13,1,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
8,1,1,2,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
8,2,2,2,1,38,1,1,2,3,NA,NA,3,NA,NA,3,Montevideo
8,3,2,2,2,32,2,2,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
8,4,1,2,3,16,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
8,5,1,2,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
8,6,1,2,3,8,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
8,13,1,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
9,1,1,4,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
9,2,2,2,1,42,1,1,1,5,NA,NA,1,NA,NA,3,Montevideo
9,3,2,4,2,43,2,1,1,9,NA,NA,1,1200,NA,3,Montevideo
9,7,1,4,3,19,2,6,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
9,8,1,4,3,15,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
9,9,1,2,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
9,13,1,1,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
10,1,1,4,3,14,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
10,2,3,2,1,46,1,4,NA,NA,2500,NA,1,450,NA,3,Montevideo
10,3,3,4,2,32,2,1,5,5,NA,NA,1,NA,NA,3,Montevideo
10,4,1,2,3,10,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
10,13,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
11,1,1,4,4,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
11,2,3,2,1,41,1,1,1,9,NA,NA,NA,NA,NA,3,Montevideo
11,3,3,2,2,31,2,6,NA,NA,NA,NA,3,2536,NA,3,Montevideo
11,4,1,2,3,12,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
11,5,1,2,3,10,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
11,6,1,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
11,13,1,NA,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
11,14,1,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
13,1,1,4,7,15,2,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
13,2,5,4,1,88,2,4,NA,NA,18600,NA,1,NA,NA,3,Montevideo
13,3,5,4,10,81,2,5,NA,NA,4000,NA,1,NA,NA,3,Montevideo
13,4,4,4,4,57,1,2,NA,NA,NA,NA,1,2500,NA,3,Montevideo
14,1,1,4,3,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
14,2,3,4,1,36,1,1,2,9,NA,NA,1,NA,NA,3,Montevideo
14,3,3,4,2,36,2,1,2,9,NA,NA,1,2100,NA,3,Montevideo
14,4,1,2,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
14,13,1,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
15,1,1,4,4,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
15,2,2,4,2,36,2,6,NA,NA,NA,NA,1,NA,NA,3,Montevideo
15,3,2,4,1,45,1,1,2,8,NA,NA,1,1200,NA,3,Montevideo
15,13,1,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
20,1,1,4,3,13,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Montevideo
20,2,3,3,1,52,1,1,1,1,NA,NA,NA,NA,NA,3,Montevideo
20,3,3,4,2,54,2,1,1,1,NA,NA,NA,NA,NA,3,Montevideo
22,1,1,4,7,14,1,3,NA,NA,NA,NA,NA,NA,NA,3,Rivera
22,3,4,99,3,34,2,6,NA,NA,NA,NA,NA,700,NA,3,Rivera
22,13,2,4,1,56,2,6,NA,NA,NA,NA,NA,NA,NA,3,Rivera
22,14,2,4,2,52,1,1,NA,3,NA,NA,NA,NA,NA,3,Rivera
23,1,1,2,4,14,2,3,NA,NA,NA,NA,1,NA,NA,3,Montevideo
23,3,4,4,1,37,2,1,2,9,NA,NA,3,2200,NA,3,Montevideo
23,5,3,2,4,20,2,6,NA,NA,NA,NA,1,NA,NA,3,Montevideo
23,6,1,4,4,18,1,1,6,5,NA,NA,1,NA,NA,3,Montevideo
23,8,1,2,4,11,1,NA,NA,NA,NA,NA,4,NA,NA,3,Montevideo
23,9,1,2,4,9,1,NA,NA,NA,NA,NA,4,NA,NA,3,Montevideo
23,13,1,NA,7,4,2,NA,NA,NA,NA,NA,5,NA,NA,3,Montevideo
23,14,1,NA,7,1,1,NA,NA,NA,NA,NA,5,800,500,3,Montevideo
23,15,3,8,6,25,1,1,1,10,NA,NA,NA,NA,NA,3,Montevideo
25,3,4,4,1,37,2,1,2,9,NA,NA,3,2200,NA,3,Montevideo
25,5,3,2,4,20,2,6,NA,NA,NA,NA,1,NA,NA,3,Montevideo
25,6,1,4,4,18,1,1,6,5,NA,NA,1,NA,NA,3,Montevideo
25,7,1,2,4,14,2,3,NA,NA,NA,NA,1,NA,NA,3,Montevideo
25,8,1,2,4,11,1,NA,NA,NA,NA,NA,4,NA,NA,3,Montevideo
25,9,1,2,4,9,1,NA,NA,NA,NA,NA,4,NA,NA,3,Montevideo
25,13,1,NA,7,4,2,NA,NA,NA,NA,NA,5,NA,NA,3,Montevideo
25,14,1,NA,7,1,1,NA,NA,NA,NA,NA,5,NA,NA,3,Montevideo
25,15,3,8,6,25,1,1,1,10,NA,NA,NA,800,500,3,Montevideo
26,1,1,4,4,14,2,2,NA,NA,NA,NA,NA,NA,NA,3,Canelones
26,2,4,4,1,38,2,1,2,5,1530,NA,3,NA,NA,3,Canelones
26,4,1,4,4,14,1,9,NA,NA,NA,NA,NA,NA,NA,3,Canelones
26,5,1,2,4,9,2,NA,NA,NA,NA,NA,NA,NA,NA,3,Canelones
26,13,1,4,4,15,2,6,NA,NA,NA,NA,NA,NA,NA,3,Canelones
26,14,1,4,4,15,1,7,NA,NA,NA,NA,NA,NA,NA,3,Canelones
26,15,1,1,7,4,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Canelones
28,1,1,4,4,12,1,NA,NA,NA,NA,NA,NA,NA,NA,3,Canelones
28,2,3,4,1,47,1,1,2,5,NA,NA,2,NA,NA,3,Canelones
